time/s,control/V/mA,Ecell/V,<I>/mA,Q discharge/mA.h,Q charge/mA.h,control/V,control/mA,cycle number
0.0,1750.0,3.1594789,0.02912169468607679,0.0,0.0009712085639105904,0.0,1750.0,1.0
0.012000000569969416,1750.0,3.1649517999999994,1749.1927676665,0.0,0.006801851399739585,0.0,1750.0,1.0
0.034000001614913344,1750.0,3.1702673,1749.858104474978,0.0,0.017495429212782118,0.0,1750.0,1.0
0.07000000332482159,1750.0,3.1753857000000005,1750.242965641792,0.0,0.034997859700520835,0.0,1750.0,1.0
0.14000000664964318,1750.0,3.1804256,1750.358311812218,0.0,0.06903260626898873,0.0,1750.0,1.0
0.27800001320429146,1750.0,3.1854259999999996,1750.3899191254332,0.0,0.1361308896891276,0.0,1750.0,1.0
0.5480000260286033,1750.0,3.1904263,1750.53978411366,0.0,0.2674213797336155,0.0,1750.0,1.0
0.9980000474024564,1750.0,3.1954267000000005,1750.620592305713,0.0,0.4862489641655816,0.0,1750.0,1.0
1.6120000765658915,1750.0,3.2004273,1750.536398779624,0.0,0.784812686360677,0.0,1750.0,1.0
2.3900001135189086,1750.0,3.2054276,1750.606658709277,0.0,1.1631382544623479,0.0,1750.0,1.0
3.28800015617162,1750.0,3.2104673,1750.553670202619,0.0,1.5998041629367399,0.0,1750.0,1.0
4.392000208616082,1750.0,3.2154677000000005,1750.562938305253,0.0,2.136643489515516,0.0,1750.0,1.0
5.5540002638008446,1750.0,3.2204683,1750.569840870453,0.0,2.7016885594346793,0.0,1750.0,1.0
6.838000324794848,1750.0,3.225508,1750.526049408383,0.0,3.326042880045573,0.0,1750.0,1.0
8.242000391473994,1750.0,3.2305477000000002,1750.571140184664,0.0,4.008765657145182,0.0,1750.0,1.0
9.696000460535288,1750.0,3.2355482999999996,1750.596015235457,0.0,4.715811970214844,0.0,1750.0,1.0
11.244000534061342,1750.0,3.2405879,1750.549770274344,0.0,5.468548407185873,0.0,1750.0,1.0
12.854000610532239,1750.0,3.2456276,1750.574040068907,0.0,6.251444056735567,0.0,1750.0,1.0
14.548000690985646,1750.0,3.250628,1750.606669716919,0.0,7.0752017898898645,0.0,1750.0,1.0
16.31600077497569,1750.0,3.2556286,1750.568837281378,0.0,7.934925637478298,0.0,1750.0,1.0
18.116000860463828,1750.0,3.2606289,1750.5777056161262,0.0,8.810214531860352,0.0,1750.0,1.0
19.94800094747916,1750.0,3.2656292999999996,1750.566271395925,0.0,9.701058298950196,0.0,1750.0,1.0
21.88200103933923,1750.0,3.2706296000000004,1750.5880079394642,0.0,10.64151312344021,0.0,1750.0,1.0
23.886001134524122,1750.0,3.2756302,1750.558169244649,0.0,11.61599055060493,0.0,1750.0,1.0
25.95400123274885,1750.0,3.2806699,1750.538701921345,0.0,12.62157783047146,0.0,1750.0,1.0
28.08200133381615,1750.0,3.2856703,1750.555719506671,0.0,13.656350816040039,0.0,1750.0,1.0
30.278001438135107,1750.0,3.2906706,1750.569525724898,0.0,14.72419827745226,0.0,1750.0,1.0
32.56200154661201,1750.0,3.2956712,1750.589537518497,0.0,15.83485013678657,0.0,1750.0,1.0
34.85200165538117,1750.0,3.3007503,1750.580284640688,0.0,16.94841375962999,0.0,1750.0,1.0
37.30600177193992,1750.0,3.3057506,1750.575073961712,0.0,18.141722491726338,0.0,1750.0,1.0
39.75600188831595,1750.0,3.3107512000000003,1750.564037348525,0.0,19.33307862928602,0.0,1750.0,1.0
42.34000201104209,1750.0,3.3157516000000005,1750.559813882972,0.0,20.58959162204319,0.0,1750.0,1.0
44.93600213434547,1750.0,3.3207519,1750.559560614469,0.0,21.851939631822383,0.0,1750.0,1.0
47.630002262303606,1750.0,3.3257523,1750.58729264253,0.0,23.161962518039278,0.0,1750.0,1.0
50.406002394149255,1750.0,3.3307526,1750.594926602756,0.0,24.511865781114373,0.0,1750.0,1.0
53.35800253436901,1750.0,3.3357532,1750.55859636642,0.0,25.947323898315428,0.0,1750.0,1.0
56.294002673821524,1750.0,3.3407536,1750.575877598686,0.0,27.37501584852431,0.0,1750.0,1.0
59.40000282135588,1750.0,3.3457538999999996,1750.552269532519,0.0,28.885353517252604,0.0,1750.0,1.0
62.5800029723905,1750.0,3.3507542999999997,1750.5706443914191,0.0,30.43169099324544,0.0,1750.0,1.0
65.8400031272322,1750.0,3.3557549,1750.576975946069,0.0,32.01693577453613,0.0,1750.0,1.0
69.21200328738632,1750.0,3.3607552000000003,1750.5468480376871,0.0,33.656614733412,0.0,1750.0,1.0
72.66200345126708,1750.0,3.3657556000000004,1750.545515953414,0.0,35.334220932549364,0.0,1750.0,1.0
76.30400362423825,1750.0,3.3707559000000002,1750.554865252423,0.0,37.105199022013345,0.0,1750.0,1.0
79.99000379932113,1750.0,3.3757957999999997,1750.57539955643,0.0,38.89759380791558,0.0,1750.0,1.0
83.85000398266857,1750.0,3.3807962,1750.560869406051,0.0,40.77458416259765,0.0,1750.0,1.0
87.71800416638143,1750.0,3.3857964999999997,1750.543818362202,0.0,42.65544633232964,0.0,1750.0,1.0
91.84400436235592,1750.0,3.3908362000000003,1750.55674197401,0.0,44.6617789602322,0.0,1750.0,1.0
96.18000456830487,1750.0,3.3958367999999997,1750.557122954081,0.0,46.770227861802844,0.0,1750.0,1.0
100.50800477387384,1750.0,3.4008765,1750.540869018002,0.0,48.87476709540473,0.0,1750.0,1.0
105.01000498770009,1750.0,3.4058769,1750.550393605404,0.0,51.06392771938747,0.0,1750.0,1.0
109.7060052107554,1750.0,3.4108772000000003,1750.563480080959,0.0,53.347440634087455,0.0,1750.0,1.0
114.4900054379832,1750.0,3.4158777999999996,1750.579070161654,0.0,55.673765820041226,0.0,1750.0,1.0
119.52800567727536,1750.0,3.4208781999999998,1750.569041650452,0.0,58.12359005635579,0.0,1750.0,1.0
124.74800592521933,1750.0,3.4258785000000005,1750.562388790607,0.0,60.66190564066569,0.0,1750.0,1.0
130.0680061778985,1750.0,3.4308788999999997,1750.564748579169,0.0,63.24885144755046,0.0,1750.0,1.0
135.77600644901395,1750.0,3.4358795,1750.572887653578,0.0,66.0244821468099,0.0,1750.0,1.0
141.42800671746954,1750.0,3.4408797999999994,1750.554485522469,0.0,68.77285281962078,0.0,1750.0,1.0
147.51200700644404,1750.0,3.4458802000000004,1750.56214201398,0.0,71.73130298014323,0.0,1750.0,1.0
153.81000730558299,1750.0,3.4508805000000002,1750.577841515598,0.0,74.79384180501303,0.0,1750.0,1.0
160.49200762296823,1750.0,3.4558811,1750.5835859484632,0.0,78.04311960415313,0.0,1750.0,1.0
167.45800795383548,1750.0,3.4608815,1750.5824752506799,0.0,81.43049685465495,0.0,1750.0,1.0
174.71200829836744,1750.0,3.4658818,1750.5851738273432,0.0,84.95792614746095,0.0,1750.0,1.0
182.4120086641051,1750.0,3.4709214999999998,1750.56435548775,0.0,88.70218897454157,0.0,1750.0,1.0
